Tenor,Pref_iss_nme,Price,Delta,TenorDays
8Y,EQOPTION_8Y_0.2,16.59,20,"2,899.00"
9Y,EQOPTION_9Y_0.2,16.59,20,"3,270.00"
1W,EQOPTION_1W_0.3,41.11,30,8
1M,EQOPTION_1M_0.3,23.27,30,43
2M,EQOPTION_2M_0.3,19.38,30,71
3M,EQOPTION_3M_0.3,18.01,30,99
6M,EQOPTION_6M_0.3,16.12,30,162
9M,EQOPTION_9M_0.3,14.91,30,253
11M,EQOPTION_11M_0.3,14.48,30,344
1Y,EQOPTION_1Y_0.3,14.22,30,435
1.5Y,EQOPTION_1.5Y_0.3,14.39,30,526
2Y,EQOPTION_2Y_0.3,14.51,30,708
3Y,EQOPTION_3Y_0.3,14.65,30,"1,072.00"
4Y,EQOPTION_4Y_0.3,15.45,30,"1,443.00"
5Y,EQOPTION_5Y_0.3,16.15,30,"1,807.00"
6Y,EQOPTION_6Y_0.3,16.4,30,"2,171.00"
7Y,EQOPTION_7Y_0.3,16.4,30,"2,535.00"
8Y,EQOPTION_8Y_0.3,16.47,30,"2,899.00"
9Y,EQOPTION_9Y_0.3,16.44,30,"3,270.00"
1W,EQOPTION_1W_0.4,47.38,40,8
1M,EQOPTION_1M_0.4,26.88,40,43
2M,EQOPTION_2M_0.4,22.05,40,71
3M,EQOPTION_3M_0.4,20.38,40,99
6M,EQOPTION_6M_0.4,17.79,40,162
9M,EQOPTION_9M_0.4,15.59,40,253
11M,EQOPTION_11M_0.4,14.82,40,344
1Y,EQOPTION_1Y_0.4,14.44,40,435
1.5Y,EQOPTION_1.5Y_0.4,14.36,40,526
2Y,EQOPTION_2Y_0.4,14.16,40,708
3Y,EQOPTION_3Y_0.4,13.92,40,"1,072.00"
4Y,EQOPTION_4Y_0.4,14.93,40,"1,443.00"
5Y,EQOPTION_5Y_0.4,15.87,40,"1,807.00"
6Y,EQOPTION_6Y_0.4,16.21,40,"2,171.00"
7Y,EQOPTION_7Y_0.4,16.26,40,"2,535.00"
8Y,EQOPTION_8Y_0.4,16.38,40,"2,899.00"
9Y,EQOPTION_9Y_0.4,16.36,40,"3,270.00"
1W,EQOPTION_1W_0.5,52.57,50,8
1M,EQOPTION_1M_0.5,29.91,50,43
2M,EQOPTION_2M_0.5,24.36,50,71
3M,EQOPTION_3M_0.5,22.47,50,99
6M,EQOPTION_6M_0.5,19.41,50,162
9M,EQOPTION_9M_0.5,16.33,50,253
11M,EQOPTION_11M_0.5,15.26,50,344
1Y,EQOPTION_1Y_0.5,14.83,50,435
1.5Y,EQOPTION_1.5Y_0.5,14.5,50,526
2Y,EQOPTION_2Y_0.5,13.94,50,708
3Y,EQOPTION_3Y_0.5,13.39,50,"1,072.00"
4Y,EQOPTION_4Y_0.5,14.63,50,"1,443.00"
5Y,EQOPTION_5Y_0.5,15.73,50,"1,807.00"
6Y,EQOPTION_6Y_0.5,16.12,50,"2,171.00"
7Y,EQOPTION_7Y_0.5,16.2,50,"2,535.00"
8Y,EQOPTION_8Y_0.5,16.34,50,"2,899.00"
9Y,EQOPTION_9Y_0.5,16.33,50,"3,270.00"
